Genome,best_rescue
3D04,agreement
4A10,EX_bz_e
4B03,agreement
4E07,agreement
4H09,EX_bz_e
5C01,agreement
5D01,EX_bz_e
5F01,EX_bz_e
6C01,agreement
6D03,EX_adn_e
6E01,EX_cytd_e
6E02,EX_4abut_e
6E03,EX_4abut_e
A3M17,agreement
A3R06,EX_bz_e
B2M14,EX_bz_e
B2R04,EX_gly_asn__L_e
B2R09,agreement
B3M03,EX_tol_e
B3M18,agreement
B3R09,EX_bz_e
D2M19_2,agreement
D2R04,agreement
D2R18,EX_nmn_e
D2R19,EX_rnam_e
D3M08,agreement
E2M18,agreement
F2R13,agreement
F2R14,agreement
F3M13,agreement
F3R08,EX_g3pc_e
F3R18,agreement
G2M07,agreement
G2R13,agreement
G3M19,agreement
I1M13,agreement
I1M15,agreement
I2M02,agreement
